"","username","inputvalue","expected","label","firstlanguage","hearing","environment","equipment","experiment","foreignlanguages","startdate","enddate","acc_rating"
"1","ANBE24","Ok, continue","z","<p>Now you will hear ""z"" as in the first sound of ""zoo"".</p><p>Click on the icon or press the space bar to hear the audio.</p>","English","normal","office","in-ear","Fricatives #1","Danish, Spanish, Chinese, French",2021-10-26,2021-10-26,0
"2","ANBE24","Ok, continue","s","<p>Now you will hear ""s"" as in the first sound of ""see"".</p><p>Click on the icon or press the space bar to hear the audio.</p>","English","normal","office","in-ear","Fricatives #1","Danish, Spanish, Chinese, French",2021-10-26,2021-10-26,0
"3","ANBE24","s","s","<p>Did you hear ""s"" or ""z""?</p>","English","normal","office","in-ear","Fricatives #1","Danish, Spanish, Chinese, French",2021-10-26,2021-10-26,1
"4","ANBE24","s","s","<p>Did you hear ""s"" or ""z""?</p>","English","normal","office","in-ear","Fricatives #1","Danish, Spanish, Chinese, French",2021-10-26,2021-10-26,1
"5","ANBE24","s","s","<p>Did you hear ""s"" or ""z""?</p>","English","normal","office","in-ear","Fricatives #1","Danish, Spanish, Chinese, French",2021-10-26,2021-10-26,1
"6","ANBE24","z","z","<p>Did you hear ""s"" or ""z""?</p>","English","normal","office","in-ear","Fricatives #1","Danish, Spanish, Chinese, French",2021-10-26,2021-10-26,1
"7","ANBE24","s","s","<p>Did you hear ""s"" or ""z""?</p>","English","normal","office","in-ear","Fricatives #1","Danish, Spanish, Chinese, French",2021-10-26,2021-10-26,1
"8","ANBE24","z","z","<p>Did you hear ""s"" or ""z""?</p>","English","normal","office","in-ear","Fricatives #1","Danish, Spanish, Chinese, French",2021-10-26,2021-10-26,1
"9","ANBE24","s","s","<p>Did you hear ""s"" or ""z""?</p>","English","normal","office","in-ear","Fricatives #1","Danish, Spanish, Chinese, French",2021-10-26,2021-10-26,1
"10","ANBE24","z","z","<p>Did you hear ""s"" or ""z""?</p>","English","normal","office","in-ear","Fricatives #1","Danish, Spanish, Chinese, French",2021-10-26,2021-10-26,1
"11","ANBE24","s","s","<p>Did you hear ""s"" or ""z""?</p>","English","normal","office","in-ear","Fricatives #1","Danish, Spanish, Chinese, French",2021-10-26,2021-10-26,1
"12","ANBE24","s","s","<p>Did you hear ""s"" or ""z""?</p>","English","normal","office","in-ear","Fricatives #1","Danish, Spanish, Chinese, French",2021-10-26,2021-10-26,1
"13","ANBE24","z","s","<p>Click on the icon or press the space bar to hear the audio.</p><p>Did you hear ""s"" or ""z""?</p>","English","normal","office","in-ear","Fricatives #1","Danish, Spanish, Chinese, French",2021-10-26,2021-10-26,0
"14","ANBE24","z","z","<p>Click on the icon or press the space bar to hear the audio.</p><p>Did you hear ""s"" or ""z""?</p>","English","normal","office","in-ear","Fricatives #1","Danish, Spanish, Chinese, French",2021-10-26,2021-10-26,1
"15","ANBE24","z","s","<p>Click on the icon or press the space bar to hear the audio.</p><p>Did you hear ""s"" or ""z""?</p>","English","normal","office","in-ear","Fricatives #1","Danish, Spanish, Chinese, French",2021-10-26,2021-10-26,0
"16","ANBE24","z","z","<p>Click on the icon or press the space bar to hear the audio.</p><p>Did you hear ""s"" or ""z""?</p>","English","normal","office","in-ear","Fricatives #1","Danish, Spanish, Chinese, French",2021-10-26,2021-10-26,1
"17","ANBE24","s","s","<p>Click on the icon or press the space bar to hear the audio.</p><p>Did you hear ""s"" or ""z""?</p>","English","normal","office","in-ear","Fricatives #1","Danish, Spanish, Chinese, French",2021-10-26,2021-10-26,1
"18","ANBE24","z","z","<p>Did you hear ""s"" or ""z""?</p>","English","normal","office","in-ear","Fricatives #1","Danish, Spanish, Chinese, French",2021-10-26,2021-10-26,1
"19","ANBE24","z","z","<p>Did you hear ""s"" or ""z""?</p>","English","normal","office","in-ear","Fricatives #1","Danish, Spanish, Chinese, French",2021-10-26,2021-10-26,1
"20","ANBE24","z","s","<p>Did you hear ""s"" or ""z""?</p>","English","normal","office","in-ear","Fricatives #1","Danish, Spanish, Chinese, French",2021-10-26,2021-10-26,0
"21","ANBE24","s","s","<p>Did you hear ""s"" or ""z""?</p>","English","normal","office","in-ear","Fricatives #1","Danish, Spanish, Chinese, French",2021-10-26,2021-10-26,1
"22","ANBE24","s","s","<p>Did you hear ""s"" or ""z""?</p>","English","normal","office","in-ear","Fricatives #1","Danish, Spanish, Chinese, French",2021-10-26,2021-10-26,1
"23","ANBE24","z","z","<p>Did you hear ""s"" or ""z""?</p>","English","normal","office","in-ear","Fricatives #1","Danish, Spanish, Chinese, French",2021-10-26,2021-10-26,1
"24","ANBE24","s","s","<p>Did you hear ""s"" or ""z""?</p>","English","normal","office","in-ear","Fricatives #1","Danish, Spanish, Chinese, French",2021-10-26,2021-10-26,1
"25","ANBE24","s","s","<p>Did you hear ""s"" or ""z""?</p>","English","normal","office","in-ear","Fricatives #1","Danish, Spanish, Chinese, French",2021-10-26,2021-10-26,1
"26","ANBE24","z","z","<p>Did you hear ""s"" or ""z""?</p>","English","normal","office","in-ear","Fricatives #1","Danish, Spanish, Chinese, French",2021-10-26,2021-10-26,1
"27","ANBE24","s","s","<p>Did you hear ""s"" or ""z""?</p>","English","normal","office","in-ear","Fricatives #1","Danish, Spanish, Chinese, French",2021-10-26,2021-10-26,1
"28","ANBE24","z","z","<p>Did you hear ""s"" or ""z""?</p>","English","normal","office","in-ear","Fricatives #1","Danish, Spanish, Chinese, French",2021-10-26,2021-10-26,1
"29","ANBE24","z","s","<p>Did you hear ""s"" or ""z""?</p>","English","normal","office","in-ear","Fricatives #1","Danish, Spanish, Chinese, French",2021-10-26,2021-10-26,0
"30","ANBE24","z","z","<p>Did you hear ""s"" or ""z""?</p>","English","normal","office","in-ear","Fricatives #1","Danish, Spanish, Chinese, French",2021-10-26,2021-10-26,1
"31","ANBE24","z","z","<p>Did you hear ""s"" or ""z""?</p>","English","normal","office","in-ear","Fricatives #1","Danish, Spanish, Chinese, French",2021-10-26,2021-10-26,1
"32","ANBE24","z","z","<p>Did you hear ""s"" or ""z""?</p>","English","normal","office","in-ear","Fricatives #1","Danish, Spanish, Chinese, French",2021-10-26,2021-10-26,1
"33","ANBE24","z","z","<p>Did you hear ""s"" or ""z""?</p>","English","normal","office","in-ear","Fricatives #1","Danish, Spanish, Chinese, French",2021-10-26,2021-10-26,1
"34","ANBE24","s","s","<p>Did you hear ""s"" or ""z""?</p>","English","normal","office","in-ear","Fricatives #1","Danish, Spanish, Chinese, French",2021-10-26,2021-10-26,1
"35","ANBE24","s","s","<p>Did you hear ""s"" or ""z""?</p>","English","normal","office","in-ear","Fricatives #1","Danish, Spanish, Chinese, French",2021-10-26,2021-10-26,1
"36","ANBE24","z","z","<p>Did you hear ""s"" or ""z""?</p>","English","normal","office","in-ear","Fricatives #1","Danish, Spanish, Chinese, French",2021-10-26,2021-10-26,1
"37","ANBE24","s","s","<p>Did you hear ""s"" or ""z""?</p>","English","normal","office","in-ear","Fricatives #1","Danish, Spanish, Chinese, French",2021-10-26,2021-10-26,1
"38","ANBE24","z","z","<p>Did you hear ""s"" or ""z""?</p>","English","normal","office","in-ear","Fricatives #1","Danish, Spanish, Chinese, French",2021-10-26,2021-10-26,1
